id,violation_id,user_id,reason,status,date,admin_comment
1,10,37,I was not driving the vehicle at the time of the alleged violation.,pending,2023-06-03,
2,15,48,The signage at the location was not clearly visible.,pending,2023-10-30,
3,17,43,Vehicle was under authorized repair at the time.,pending,2024-05-16,
4,21,3,I was not driving the vehicle at the time of the alleged violation.,approved,2026-06-22,
5,29,28,Vehicle was under authorized repair at the time.,pending,2026-05-03,
6,30,29,This fine was issued in error; documents were valid.,rejected,2026-03-16,
7,34,21,I was not driving the vehicle at the time of the alleged violation.,approved,2023-07-13,
8,35,36,This fine was issued in error; documents were valid.,pending,2025-10-22,
9,42,23,Vehicle was under authorized repair at the time.,pending,2026-06-26,
10,47,48,I was not driving the vehicle at the time of the alleged violation.,approved,2025-03-29,
11,54,35,Vehicle was under authorized repair at the time.,pending,2023-01-30,
12,65,11,I was not driving the vehicle at the time of the alleged violation.,rejected,2026-05-29,
13,68,16,The signage at the location was not clearly visible.,pending,2023-06-04,
14,69,25,I was not driving the vehicle at the time of the alleged violation.,pending,2023-04-19,
15,78,12,Vehicle was under authorized repair at the time.,pending,2024-10-25,
16,83,45,I was not driving the vehicle at the time of the alleged violation.,rejected,2024-12-01,
17,85,45,The signage at the location was not clearly visible.,rejected,2026-04-04,
18,93,29,The signage at the location was not clearly visible.,pending,2025-12-07,
19,94,13,Vehicle was under authorized repair at the time.,pending,2023-03-14,
20,98,8,This fine was issued in error; documents were valid.,rejected,2025-05-02,
21,135,11,I was not driving the vehicle at the time of the alleged violation.,pending,2023-12-20,
22,143,3,I was not driving the vehicle at the time of the alleged violation.,rejected,2025-09-30,
23,145,12,The signage at the location was not clearly visible.,approved,2023-10-11,
24,160,37,Vehicle was under authorized repair at the time.,approved,2025-06-01,
25,169,13,This fine was issued in error; documents were valid.,pending,2024-10-23,
26,171,37,The signage at the location was not clearly visible.,approved,2025-08-20,
27,172,32,Vehicle was under authorized repair at the time.,rejected,2024-02-09,
28,174,17,The signage at the location was not clearly visible.,pending,2026-04-28,
29,184,35,This fine was issued in error; documents were valid.,pending,2023-12-23,
30,205,12,This fine was issued in error; documents were valid.,pending,2024-03-03,
31,213,13,Vehicle was under authorized repair at the time.,pending,2023-04-19,
32,216,35,This fine was issued in error; documents were valid.,approved,2025-02-25,
33,223,49,I was not driving the vehicle at the time of the alleged violation.,pending,2025-06-27,
34,230,26,Vehicle was under authorized repair at the time.,pending,2023-11-06,
35,244,24,Vehicle was under authorized repair at the time.,rejected,2023-05-02,
36,248,22,The signage at the location was not clearly visible.,pending,2024-10-26,
37,254,29,This fine was issued in error; documents were valid.,rejected,2026-08-03,
38,265,35,Vehicle was under authorized repair at the time.,approved,2025-10-02,
39,266,40,The signage at the location was not clearly visible.,pending,2024-09-27,
40,270,43,This fine was issued in error; documents were valid.,rejected,2025-06-10,
41,271,49,Vehicle was under authorized repair at the time.,pending,2023-09-01,
42,274,28,Vehicle was under authorized repair at the time.,pending,2025-08-29,
43,296,24,The signage at the location was not clearly visible.,approved,2025-09-20,
44,299,35,I was not driving the vehicle at the time of the alleged violation.,pending,2026-03-25,
