id,user_id,vehicle_id,doc_type,file_path,expiry_date,status,uploaded_on
1,2,142.0,Insurance,/documents/2_Insurance.pdf,2025-10-03,expired,2025-04-21
2,2,142.0,Tax Token,/documents/2_Tax_Token.pdf,2026-01-11,expired,2023-03-10
3,3,30.0,Tax Token,/documents/3_Tax_Token.pdf,2026-12-23,valid,2025-01-24
4,4,147.0,Tax Token,/documents/4_Tax_Token.pdf,2026-12-09,valid,2023-06-13
5,5,130.0,Insurance,/documents/5_Insurance.pdf,2026-06-24,expired,2024-07-26
6,5,130.0,Fitness Certificate,/documents/5_Fitness_Certificate.pdf,2025-03-22,expired,2025-12-07
7,6,,Driving License,/documents/6_Driving_License.pdf,,valid,2025-08-25
8,7,49.0,Insurance,/documents/7_Insurance.pdf,2026-09-20,expiring,2023-04-19
9,8,25.0,Tax Token,/documents/8_Tax_Token.pdf,2026-04-26,expired,2025-07-18
10,8,26.0,Tax Token,/documents/8_Tax_Token.pdf,2026-08-11,expiring,2024-11-09
11,8,26.0,Fitness Certificate,/documents/8_Fitness_Certificate.pdf,2027-03-29,valid,2024-08-26
12,9,,Driving License,/documents/9_Driving_License.pdf,,valid,2023-03-14
13,9,44.0,Insurance,/documents/9_Insurance.pdf,2027-01-15,valid,2026-02-28
14,9,44.0,Vehicle Registration,/documents/9_Vehicle_Registration.pdf,,valid,2026-07-12
15,10,,Tax Token,/documents/10_Tax_Token.pdf,2025-06-23,expired,2026-03-19
16,10,,NID,/documents/10_NID.pdf,,valid,2024-08-20
17,10,,Insurance,/documents/10_Insurance.pdf,2026-10-02,valid,2023-02-25
18,10,,Vehicle Registration,/documents/10_Vehicle_Registration.pdf,,valid,2025-09-19
19,11,,Driving License,/documents/11_Driving_License.pdf,,valid,2025-11-01
20,12,78.0,Vehicle Registration,/documents/12_Vehicle_Registration.pdf,,valid,2023-09-29
21,13,116.0,Vehicle Registration,/documents/13_Vehicle_Registration.pdf,,valid,2023-01-30
22,13,73.0,Insurance,/documents/13_Insurance.pdf,2026-09-11,expiring,2023-12-24
23,13,77.0,Tax Token,/documents/13_Tax_Token.pdf,2026-11-06,valid,2025-07-03
24,14,,Driving License,/documents/14_Driving_License.pdf,,valid,2024-06-19
25,14,74.0,Insurance,/documents/14_Insurance.pdf,2026-05-12,expired,2024-01-06
26,14,74.0,Tax Token,/documents/14_Tax_Token.pdf,2025-12-18,expired,2023-06-22
27,15,108.0,Tax Token,/documents/15_Tax_Token.pdf,2027-05-08,valid,2025-10-12
28,15,108.0,Fitness Certificate,/documents/15_Fitness_Certificate.pdf,2025-09-01,expired,2025-06-20
29,16,,Driving License,/documents/16_Driving_License.pdf,,valid,2026-03-29
30,16,111.0,Insurance,/documents/16_Insurance.pdf,2025-02-25,expired,2024-06-25
31,17,,NID,/documents/17_NID.pdf,,valid,2023-12-10
32,18,23.0,Fitness Certificate,/documents/18_Fitness_Certificate.pdf,2025-11-05,expired,2025-09-02
33,18,15.0,Insurance,/documents/18_Insurance.pdf,2026-01-24,expired,2025-03-09
34,18,23.0,Fitness Certificate,/documents/18_Fitness_Certificate.pdf,2025-05-29,expired,2025-12-22
35,18,15.0,Fitness Certificate,/documents/18_Fitness_Certificate.pdf,2025-10-23,expired,2025-07-08
36,19,118.0,Insurance,/documents/19_Insurance.pdf,2026-06-27,expired,2023-03-26
37,19,,NID,/documents/19_NID.pdf,,valid,2025-12-24
38,19,118.0,Insurance,/documents/19_Insurance.pdf,2027-05-15,valid,2025-06-03
39,19,118.0,Tax Token,/documents/19_Tax_Token.pdf,2025-12-10,expired,2024-07-07
40,20,,NID,/documents/20_NID.pdf,,valid,2024-06-06
41,20,137.0,Insurance,/documents/20_Insurance.pdf,2026-04-18,expired,2024-05-10
42,20,75.0,Insurance,/documents/20_Insurance.pdf,2026-06-17,expired,2024-11-22
43,21,136.0,Vehicle Registration,/documents/21_Vehicle_Registration.pdf,,valid,2023-01-22
44,21,53.0,Insurance,/documents/21_Insurance.pdf,2027-05-02,valid,2023-05-20
45,22,48.0,Fitness Certificate,/documents/22_Fitness_Certificate.pdf,2026-06-22,expired,2023-08-01
46,23,11.0,Vehicle Registration,/documents/23_Vehicle_Registration.pdf,,valid,2024-08-03
47,23,11.0,Vehicle Registration,/documents/23_Vehicle_Registration.pdf,,valid,2023-03-11
48,23,,NID,/documents/23_NID.pdf,,valid,2026-06-22
49,23,,NID,/documents/23_NID.pdf,,valid,2023-04-27
50,24,109.0,Tax Token,/documents/24_Tax_Token.pdf,2025-05-05,expired,2023-09-03
51,24,,NID,/documents/24_NID.pdf,,valid,2026-05-23
52,25,56.0,Fitness Certificate,/documents/25_Fitness_Certificate.pdf,2027-07-07,valid,2023-08-16
53,25,56.0,Insurance,/documents/25_Insurance.pdf,2025-09-17,expired,2024-08-26
54,26,9.0,Insurance,/documents/26_Insurance.pdf,2026-10-17,valid,2025-07-17
55,26,126.0,Vehicle Registration,/documents/26_Vehicle_Registration.pdf,,valid,2024-10-24
56,26,57.0,Vehicle Registration,/documents/26_Vehicle_Registration.pdf,,valid,2023-06-01
57,26,9.0,Vehicle Registration,/documents/26_Vehicle_Registration.pdf,,valid,2025-02-22
58,27,79.0,Vehicle Registration,/documents/27_Vehicle_Registration.pdf,,valid,2024-06-12
59,27,79.0,Vehicle Registration,/documents/27_Vehicle_Registration.pdf,,valid,2025-06-21
60,27,,NID,/documents/27_NID.pdf,,valid,2025-10-04
61,27,,Driving License,/documents/27_Driving_License.pdf,,valid,2026-06-03
62,28,,Driving License,/documents/28_Driving_License.pdf,,valid,2025-10-04
63,28,,NID,/documents/28_NID.pdf,,valid,2023-10-22
64,28,123.0,Tax Token,/documents/28_Tax_Token.pdf,2025-08-12,expired,2026-06-11
65,28,31.0,Insurance,/documents/28_Insurance.pdf,2027-07-24,valid,2025-06-23
66,29,,NID,/documents/29_NID.pdf,,valid,2023-03-13
67,29,,NID,/documents/29_NID.pdf,,valid,2023-05-25
68,29,70.0,Tax Token,/documents/29_Tax_Token.pdf,2025-09-14,expired,2025-07-02
69,30,10.0,Fitness Certificate,/documents/30_Fitness_Certificate.pdf,2026-10-31,valid,2023-01-02
70,31,145.0,Insurance,/documents/31_Insurance.pdf,2025-09-30,expired,2023-11-07
71,32,146.0,Fitness Certificate,/documents/32_Fitness_Certificate.pdf,2025-01-04,expired,2025-11-21
72,32,138.0,Insurance,/documents/32_Insurance.pdf,2026-05-05,expired,2025-06-12
73,32,21.0,Fitness Certificate,/documents/32_Fitness_Certificate.pdf,2026-07-08,expired,2024-04-07
74,33,91.0,Fitness Certificate,/documents/33_Fitness_Certificate.pdf,2025-05-05,expired,2026-03-07
75,34,101.0,Vehicle Registration,/documents/34_Vehicle_Registration.pdf,,valid,2025-03-31
76,34,,NID,/documents/34_NID.pdf,,valid,2026-07-18
77,34,96.0,Insurance,/documents/34_Insurance.pdf,2026-01-10,expired,2025-12-30
78,35,,NID,/documents/35_NID.pdf,,valid,2025-07-30
79,35,144.0,Vehicle Registration,/documents/35_Vehicle_Registration.pdf,,valid,2024-02-20
80,35,,Driving License,/documents/35_Driving_License.pdf,,valid,2026-02-09
81,36,102.0,Fitness Certificate,/documents/36_Fitness_Certificate.pdf,2025-11-03,expired,2025-03-09
82,37,54.0,Insurance,/documents/37_Insurance.pdf,2026-01-03,expired,2025-09-23
83,38,95.0,Insurance,/documents/38_Insurance.pdf,2027-01-23,valid,2024-01-24
84,39,,NID,/documents/39_NID.pdf,,valid,2024-01-31
85,39,,NID,/documents/39_NID.pdf,,valid,2026-04-29
86,40,100.0,Fitness Certificate,/documents/40_Fitness_Certificate.pdf,2025-03-06,expired,2026-01-12
87,40,100.0,Insurance,/documents/40_Insurance.pdf,2026-05-27,expired,2025-12-29
88,41,,NID,/documents/41_NID.pdf,,valid,2023-03-17
89,41,32.0,Vehicle Registration,/documents/41_Vehicle_Registration.pdf,,valid,2024-11-22
90,41,32.0,Insurance,/documents/41_Insurance.pdf,2026-02-20,expired,2023-08-31
91,41,,Driving License,/documents/41_Driving_License.pdf,,valid,2025-12-07
92,42,,Insurance,/documents/42_Insurance.pdf,2027-06-11,valid,2026-01-03
93,42,,Driving License,/documents/42_Driving_License.pdf,,valid,2026-04-01
94,42,,Driving License,/documents/42_Driving_License.pdf,,valid,2023-05-28
95,42,,NID,/documents/42_NID.pdf,,valid,2023-10-17
96,43,24.0,Insurance,/documents/43_Insurance.pdf,2026-04-28,expired,2026-06-20
97,43,,NID,/documents/43_NID.pdf,,valid,2024-05-12
98,43,132.0,Insurance,/documents/43_Insurance.pdf,2025-05-14,expired,2023-01-30
99,43,,Driving License,/documents/43_Driving_License.pdf,,valid,2026-07-19
100,44,58.0,Vehicle Registration,/documents/44_Vehicle_Registration.pdf,,valid,2025-07-23
101,45,14.0,Tax Token,/documents/45_Tax_Token.pdf,2027-04-18,valid,2023-08-06
102,45,,NID,/documents/45_NID.pdf,,valid,2025-10-15
103,46,,NID,/documents/46_NID.pdf,,valid,2024-02-20
104,46,67.0,Fitness Certificate,/documents/46_Fitness_Certificate.pdf,2027-04-11,valid,2025-04-03
105,47,,NID,/documents/47_NID.pdf,,valid,2026-03-25
106,47,33.0,Tax Token,/documents/47_Tax_Token.pdf,2025-11-26,expired,2024-03-12
107,47,,NID,/documents/47_NID.pdf,,valid,2026-04-29
108,48,68.0,Vehicle Registration,/documents/48_Vehicle_Registration.pdf,,valid,2023-09-05
109,48,86.0,Vehicle Registration,/documents/48_Vehicle_Registration.pdf,,valid,2025-04-30
110,49,62.0,Insurance,/documents/49_Insurance.pdf,2026-07-21,expired,2023-12-04
111,49,20.0,Fitness Certificate,/documents/49_Fitness_Certificate.pdf,2026-08-19,expiring,2023-03-25
112,50,,NID,/documents/50_NID.pdf,,valid,2026-07-18
113,50,51.0,Tax Token,/documents/50_Tax_Token.pdf,2027-03-08,valid,2023-11-20
