id,violation_id,user_id,amount,method,date,status,reference_no
1,1,43,3500.0,bKash,2025-02-28,completed,TXN100001
2,2,37,3500.0,bKash,2024-10-16,completed,TXN100002
3,4,43,10000.0,bKash,2025-03-13,completed,TXN100003
4,6,13,5000.0,Rocket,2024-05-20,completed,TXN100004
5,8,6,10000.0,Bank Transfer,2024-01-15,completed,TXN100005
6,9,43,800.0,Nagad,2026-03-06,completed,TXN100006
7,11,49,800.0,Card,2025-02-26,completed,TXN100007
8,12,30,2500.0,Rocket,2023-07-03,completed,TXN100008
9,14,34,3500.0,Card,2026-04-24,completed,TXN100009
10,16,35,1000.0,bKash,2025-07-31,completed,TXN100010
11,20,19,1000.0,Nagad,2025-10-05,completed,TXN100011
12,23,41,3500.0,bKash,2026-01-19,completed,TXN100012
13,25,41,1500.0,Bank Transfer,2025-05-03,completed,TXN100013
14,28,25,3500.0,bKash,2024-05-21,completed,TXN100014
15,32,37,3000.0,Card,2024-05-22,completed,TXN100015
16,33,43,5000.0,Rocket,2023-07-12,completed,TXN100016
17,38,16,1000.0,Card,2023-12-19,completed,TXN100017
18,39,8,500.0,bKash,2023-10-02,completed,TXN100018
19,40,24,2500.0,Rocket,2024-04-22,completed,TXN100019
20,41,29,3500.0,bKash,2023-11-07,completed,TXN100020
21,44,12,3000.0,Card,2024-02-11,completed,TXN100021
22,45,16,3000.0,Nagad,2023-06-05,completed,TXN100022
23,46,32,3500.0,Nagad,2023-12-26,completed,TXN100023
24,48,37,2000.0,Card,2023-11-17,completed,TXN100024
25,49,21,3500.0,Rocket,2023-05-26,completed,TXN100025
26,50,18,3500.0,Bank Transfer,2026-06-03,completed,TXN100026
27,52,41,2500.0,Card,2023-03-06,completed,TXN100027
28,57,21,1000.0,Nagad,2025-02-02,completed,TXN100028
29,60,21,3000.0,bKash,2023-05-03,completed,TXN100029
30,61,22,2500.0,Rocket,2023-07-10,completed,TXN100030
31,62,32,500.0,Rocket,2023-09-28,completed,TXN100031
32,66,36,1500.0,Nagad,2024-07-03,completed,TXN100032
33,71,26,2000.0,Card,2026-02-18,completed,TXN100033
34,72,8,2000.0,Card,2025-03-02,completed,TXN100034
35,76,32,10000.0,Nagad,2024-01-30,completed,TXN100035
36,79,17,1000.0,Rocket,2025-03-28,completed,TXN100036
37,80,33,2000.0,Nagad,2026-06-12,completed,TXN100037
38,81,23,2000.0,Card,2026-04-07,completed,TXN100038
39,82,33,10000.0,Card,2023-08-19,completed,TXN100039
40,87,49,2500.0,Bank Transfer,2023-12-05,completed,TXN100040
