id,owner_id,reg_number,make,model,year,vehicle_type,engine_no,chassis_no,status,registered_on
1,50,DHAKA METRO-KHA-42-6296-1900,Bajaj RE,Standard,2020,CNG,ENG-10433218,CHS-1960013389,suspended,2024-04-01
2,2,DHAKA METRO-KA-76-6927-8168,Bajaj RE,Standard,2022,CNG,ENG-08386379,CHS-4026542351,active,2017-04-13
3,19,KHULNA-GHA-25-1472-9976,Bajaj RE,Standard,2015,CNG,ENG-16155940,CHS-7816184959,active,2018-06-26
4,37,DHAKA METRO-KA-24-8560-1925,Suzuki,Swift,2012,Car,ENG-31034131,CHS-6475255341,active,2023-01-14
5,20,KHULNA-GHA-41-8483-9032,Bajaj RE,Standard,2012,CNG,ENG-92832764,CHS-8350305641,active,2025-05-03
6,40,SYLHET-GHA-53-9318-4378,Bajaj RE,Standard,2008,CNG,ENG-39537672,CHS-4238849696,active,2018-05-07
7,39,KHULNA-CHA-71-6654-5447,Bajaj RE,Standard,2025,CNG,ENG-53287101,CHS-2269166978,active,2019-03-26
8,31,RAJSHAHI-GHA-39-7730-716,Ashok Leyland,Viking,2018,Bus,ENG-48018451,CHS-4627048281,active,2022-11-28
9,26,KHULNA-GA-26-9229-9670,Hino,Ranger,2018,Truck,ENG-48932528,CHS-8095701543,suspended,2024-10-20
10,30,DHAKA METRO-KA-62-3529-1226,Suzuki,Swift,2023,Car,ENG-03911718,CHS-2278248963,active,2017-12-21
11,23,SYLHET-CHA-58-6188-7995,Bajaj RE,Standard,2025,CNG,ENG-83465787,CHS-1331509839,active,2015-10-08
12,17,KHULNA-GA-91-2646-7270,Ashok Leyland,Viking,2013,Bus,ENG-30103105,CHS-1834738299,active,2025-02-17
13,3,SYLHET-KHA-57-8056-2386,Hyundai,Elantra,2015,Car,ENG-73763116,CHS-5667010651,active,2021-05-07
14,45,DHAKA METRO-CHA-58-4945-8154,Honda,Civic,2012,Motorcycle,ENG-33387262,CHS-4731781080,active,2022-02-25
15,18,KHULNA-KHA-96-9955-2589,Isuzu,Elf,2010,Truck,ENG-13267736,CHS-0260647468,active,2018-11-16
16,39,SYLHET-GHA-48-4263-6303,Hino,Ranger,2023,Bus,ENG-72343098,CHS-0500978820,active,2019-04-12
17,38,SYLHET-GA-94-7484-4498,Hino,Ranger,2008,Bus,ENG-81219136,CHS-1939909169,active,2022-09-10
18,49,SYLHET-KA-87-6772-3589,Suzuki,Swift,2014,Car,ENG-98543534,CHS-6247510799,active,2022-08-08
19,50,SYLHET-GHA-14-6977-2154,Yamaha,FZ,2010,Motorcycle,ENG-11838425,CHS-1354278498,suspended,2018-08-31
20,49,CHATTOGRAM METRO-CHA-56-9697-8222,Tata,LPT 1613,2016,Truck,ENG-08412411,CHS-8244935348,active,2017-11-18
21,32,DHAKA METRO-GHA-19-3306-3697,Hino,Ranger,2020,Bus,ENG-74016400,CHS-5242786801,scrapped,2024-01-09
22,37,DHAKA METRO-KHA-78-3024-7452,Ashok Leyland,Viking,2019,Bus,ENG-12805982,CHS-6204505331,active,2022-07-16
23,18,DHAKA METRO-KA-70-1410-9199,Bajaj RE,Standard,2018,CNG,ENG-58692322,CHS-6025634216,suspended,2017-06-25
24,43,KHULNA-GA-27-1742-610,Mitsubishi,Pajero,2017,Car,ENG-07337543,CHS-3036541458,scrapped,2016-04-20
25,8,KHULNA-GHA-57-9850-6867,Hero,Splendor,2012,Motorcycle,ENG-68501429,CHS-4019655698,suspended,2022-05-06
26,8,SYLHET-GA-98-7070-3560,Hino,Ranger,2022,Truck,ENG-16934060,CHS-8835615951,active,2017-08-25
27,25,DHAKA METRO-GHA-45-4109-2002,Hyundai,Tucson,2022,Car,ENG-48465648,CHS-2366299468,active,2017-05-18
28,43,SYLHET-KA-26-4362-1125,Bajaj RE,Standard,2025,CNG,ENG-04436995,CHS-7773872148,active,2017-06-03
29,16,SYLHET-KA-26-9850-4107,Ashok Leyland,Viking,2013,Bus,ENG-95134332,CHS-0037917693,active,2024-09-18
30,3,CHATTOGRAM METRO-CHA-51-1258-2855,Yamaha,R15,2016,Motorcycle,ENG-67632016,CHS-3287083172,active,2023-04-27
31,28,KHULNA-GHA-56-9408-9727,Bajaj RE,Standard,2011,CNG,ENG-78895798,CHS-6872774348,active,2017-06-26
32,41,KHULNA-GA-17-8847-6581,Suzuki,Swift,2021,Car,ENG-73471434,CHS-5581223623,active,2020-07-01
33,47,SYLHET-CHA-28-2076-2068,Tata,LPT 1613,2016,Truck,ENG-16658760,CHS-3669096705,active,2021-07-25
34,37,KHULNA-CHA-87-8048-1625,Tata,Ace,2011,Bus,ENG-46688937,CHS-3467065627,suspended,2022-04-20
35,37,CHATTOGRAM METRO-GHA-53-8430-6533,TVS,Apache,2021,Motorcycle,ENG-29806990,CHS-1627204653,active,2018-07-04
36,29,SYLHET-KA-97-8770-1100,Hino,Ranger,2010,Bus,ENG-75564641,CHS-7080531003,active,2016-01-17
37,29,RAJSHAHI-GA-85-6400-2003,Hyundai,Elantra,2021,Car,ENG-30923271,CHS-9374529912,active,2022-06-18
38,50,SYLHET-CHA-49-6761-1698,Hino,Ranger,2024,Truck,ENG-41904966,CHS-3193149190,active,2022-05-13
39,32,RAJSHAHI-KHA-24-5564-9407,Yamaha,R15,2015,Motorcycle,ENG-58651850,CHS-6716572628,active,2024-06-23
40,37,DHAKA METRO-KA-44-6062-5568,Bajaj RE,Standard,2019,CNG,ENG-49877694,CHS-5314737996,active,2024-10-02
41,11,CHATTOGRAM METRO-GA-21-9691-3525,Bajaj RE,Standard,2020,CNG,ENG-50752735,CHS-4549480831,active,2018-10-28
42,12,RAJSHAHI-CHA-20-1861-2550,Tata,Ace,2013,Bus,ENG-36783777,CHS-0143634957,active,2015-07-23
43,45,KHULNA-GHA-87-8242-6786,Hyundai,Tucson,2016,Car,ENG-88568557,CHS-4443135182,active,2020-09-29
44,9,SYLHET-CHA-72-9633-5054,Tata,LPT 1613,2009,Bus,ENG-33749894,CHS-1343524082,active,2021-09-20
45,5,CHATTOGRAM METRO-KA-42-5742-5376,Honda,City,2011,Car,ENG-40084271,CHS-0947775204,active,2023-05-18
46,29,RAJSHAHI-KA-74-6802-1181,Honda,City,2020,Motorcycle,ENG-71167190,CHS-2294131869,suspended,2015-06-23
47,29,SYLHET-CHA-64-7626-6844,Mitsubishi,Lancer,2017,Car,ENG-99386774,CHS-9649909133,active,2015-03-27
48,22,SYLHET-GA-65-2734-3987,Hero,Hunk,2021,Motorcycle,ENG-41232812,CHS-0679740344,active,2020-11-16
49,7,CHATTOGRAM METRO-KHA-31-2251-8364,Isuzu,Elf,2011,Truck,ENG-71349361,CHS-8324210249,active,2017-03-05
50,24,CHATTOGRAM METRO-GA-28-5193-3233,Hino,Ranger,2013,Bus,ENG-94717464,CHS-8877190659,active,2023-07-11
51,50,KHULNA-GHA-82-8354-9249,Honda,CB Shine,2018,Car,ENG-40139904,CHS-9027874296,suspended,2022-01-13
52,22,KHULNA-GHA-90-5961-4501,TVS,Apache,2009,Motorcycle,ENG-71756551,CHS-2567468071,active,2015-10-31
53,21,DHAKA METRO-KHA-46-2257-1480,Isuzu,Elf,2024,Truck,ENG-54516808,CHS-7603859770,active,2021-07-05
54,37,SYLHET-CHA-70-9214-2472,Mitsubishi,Lancer,2009,Car,ENG-34824771,CHS-0932480861,active,2024-02-04
55,23,DHAKA METRO-KA-66-8199-8587,Suzuki,Alto,2024,Car,ENG-31712748,CHS-4677378263,active,2019-01-30
56,25,SYLHET-CHA-16-6482-1080,Tata,Ace,2018,Bus,ENG-98214658,CHS-4044997278,active,2022-08-10
57,26,SYLHET-GA-84-3317-5732,Tata,LPT 1613,2017,Bus,ENG-75588675,CHS-3396360576,scrapped,2022-10-31
58,44,SYLHET-CHA-58-6381-2094,Tata,LPT 1613,2024,Truck,ENG-62702895,CHS-1718702621,active,2022-07-09
59,29,SYLHET-KHA-33-4509-5599,Bajaj RE,Standard,2023,CNG,ENG-74596158,CHS-6578091343,active,2016-07-17
60,11,RAJSHAHI-CHA-77-1618-5518,Hyundai,Elantra,2012,Car,ENG-16117240,CHS-0504556238,active,2016-09-23
61,12,KHULNA-GA-62-6968-3892,Hero,Splendor,2022,Motorcycle,ENG-69222196,CHS-9379237474,active,2023-06-09
62,49,SYLHET-GHA-34-7026-9346,Tata,LPT 1613,2022,Truck,ENG-07482175,CHS-9464743671,active,2018-02-28
63,26,CHATTOGRAM METRO-CHA-27-5096-855,Bajaj RE,Standard,2023,CNG,ENG-36959440,CHS-6409097439,suspended,2021-03-21
64,8,DHAKA METRO-KA-44-8361-8411,Bajaj RE,Standard,2012,CNG,ENG-53394210,CHS-4709521456,active,2016-01-11
65,16,KHULNA-GA-60-9224-6127,Isuzu,Elf,2015,Truck,ENG-23285884,CHS-2474517123,active,2015-12-01
66,25,DHAKA METRO-KHA-28-3254-628,Yamaha,R15,2017,Motorcycle,ENG-68516048,CHS-1754965137,suspended,2020-04-19
67,46,RAJSHAHI-GA-20-1311-4194,TVS,Apache,2014,Motorcycle,ENG-09859317,CHS-4612004711,active,2021-02-25
